FIRSTNAME,LASTNAME,AFFIL
Artur,Dubrawski,CMU
Christopher,Re,Stanford
Cynthia,Rudin,Duke
Fei,Wang,Cornell
Jimeng,Sun,Georgia Institute of Technology
Joyce,Ho,Emory
Nigam,Shah,Stanford
Noémie,Elhadad,Columbia University
Samantha,Kleinberg,Stevens Institute
Scott,Delp,Stanford
Susan,Murphy,Harvard
