FIRSTNAME,LASTNAME,AFFIL
Daniel, Severo, 3778 Care
Daniel, Mas Montserrat, Purdue University
Danielle, Belgrave, Microsoft Research / Imperial
Danielle, Pace, MIT
David, Ledbetter, Children's Hospital Los Angeles
David, Ouyang, Stanford University
Davis, Blalock, MIT
Deepta, Rajan, ibm research
Degui, Zhi, UT
Devin, Taylor, University of Cambridge
Di, Jin, MIT
Diana, Diaz Herrera, Wayne State University
Dianbo, Liu, Harvard Medical School/ Boston Children's Hospital
dibyajyoti, pati, GE Healthcare
Dig Vijay Kumar, Yarlagadda, Memorial Sloan Kettering Cancer Center
Divya, Shanmugam, MIT
Edward, De Brouwer, KU Leuven
Edward, Choi, Google
Elham, Dolatabadi, Vector Institute
Elias, Chaibub Neto, Sage Bionetworks
Elizabeth, Tran, Stanford University
Emma, Rocheteau, Microsoft Research
Emmanuel, Lagarde, INSERM
Eric, Oermann, Icahn School of Medicine at Mount Sinai
Eric, Wu, DeepHealth
Eskender, Gebremicheal, Jomo kenyatta University
Fattaneh, Jabbari, University of Pittsburgh
Francesco Paolo, Casale, Microsoft Research
Frank, Soboczenski, 
Frank, Rudzicz, Toronto Rehabilitation Institute-UHN
Gael, Kamdem De Teyou, Huawei
Gal, Levy-Fix, Columbia University
Gautam, Machiraju, Stanford University
George, Chen, Carnegie Mellon University
Girmaw Abebe, Tadesse, University of Oxford
Gregory, Rehm, UC Davis
Guillaume, Ausset, TŽlŽcom Paristech
Guillermo, Sapiro, Duke University
Günter, Klambauer, JKU Linz
Gurunath, Reddy, IIT Kharagpur
Gustavo, Malkomes, SigOpt
Hagai, Rossman, Weizmann institute of science
Hamed, Sadeghi, Layer 6 AI
Hamza, Ichchou, Corpy&Co
Hamza, Javed, University of Oxford
Haoran, Zhang, University of Toronto
Harvineet, Singh, NYU
Henghui, Zhu, Boston University
Hossein, Soleimani, Johns Hopkins University
Hyunkwang, Lee, Harvard University
Iman, Deznabi, UMass
Ioakeim, Perros, Georgia Institute of Technology
Ioana, Bica, University of Oxford- The Alan Turing Institute
Ioana, Baldini, IBM Research
Irene, Chen, MIT
Issa, Issa, AUB
Jacky, Mallett, reykjavik university
Jacob, Deasy, Univeristy of Cambridge
Jacob, Pfau, UCSF
Jason, Wei, Dartmouth College
Jason, Fries, Stanford University
Jayashree, Kalpathy-Cramer, MGH/Harvard Medical School
Jaz, Kandola, Imperial College London
Jean-Emmanuel, Bibault, Stanford University
Jen, Gong, UCSF
Jessica, Schrouff, Google
Jessica, Forde, Brown University
Jieshi, Chen, CMU
Jocelyn, Dunstan, University of Chile
John, Zech, New York Presbyterian - Columbia
John, Santerre, Argonne/Uni. Chicago
Jonas, Kemp, Google
Julyan, Keller-Baruch, Vector Institute
Justin, Lovelace, Texas A&M University
Jyoti, Islam, Georgia State University
Kamer, Yuksel, ConnectedLife
Katharina, Hoebel, MIT
Kathleen, Lewis, MIT
Kenneth, Jung, Stanford
Khader, Shameer, Northwell Health
Khawla, seddiki, University Laval
Kristen, Severson, IBM Research
Kruti, Pandya, Portland State University
Kuheli, Sai, University of Pittsburgh
Laura-Jayne, Gardiner, IBM Research UK
Lee, Zamparo, Element AI
Leon, Gatys, Apple
Lina, Sulieman, Vanderbilt University
Lovedeep, Gondara, Simon Fraser University
Lucy, Wang, Allen Institute for Artificial Intelligence
Lujie, Chen, CMU
Luke, Oakden-Rayner, University of Adelaide
Luke, O'connor, Harvard University
Luna, Zhang, BigBear- Inc.
Madhumita, Sushil, University of Antwerp
Maggie, Makar, MIT
mahboobeh, parsapoor, Mcgill
Marc-Andre, Schulz, RWTH Aachen University
Marie-Laure, Charpignon, MIT
Mariia, Dobko, Ukrainian Catholic University
Mario, Wieser, University of Basel
Marta, Avalos-Fernandez, University of Bordeaux
Matt, Barnes, University of Washington
Max, Berrendorf, Ludwig-Maximilians-Universität München
Maxime, Thibault, CHU Sainte-Justine
Maxime, Bassenne, Stanford University
Mazdak, Abulnaga, MIT
Mehdi, Fatemi, Microsoft Research
Mehul, Motani, National University of Singapore
Meike, Nauta, University of Twente
Meseret Dastaw, Bayeleygne, Ethiopian Biotechnology Institute
Michael, Brudno, U Toronto
Michael, Dusenberry, Google
Michael, Gensheimer, Stanford
Michal, Borsky, Reykjavik University
Mimi, Sun, Google
Ming Yang, Lu, Pathology- Brigham and Women's Hospital- Harvard Medical School
Ming Yu, Lu, MIT
Minh, Nguyen, 
Mohammad, Kachuee, University of California- Los Angeles
Mohammad Taha, Bahadori, Gatech
Monica, Agrawal, MIT
Muhammad, Khan, UC Berkeley
Mustapha, Oloko-oba, University of KwaZulu-Natal- Durban
Nandita, Damaraju, Inflammatix
Narges, Razavian, new york university
Nataliya, Sokolovska, University Paris 6
Nathan, Gaw, ASU
Nathaniel, Braman, Case Western Reserve University
Nauman, Ahad, Georgia Institute of Technology
Neil, Tenenholtz, MGH & BWH Center for Clinical Data Science
Nelson, Johansen, University of California- Davis
Nicola, Sahar, University of Toronto
Nitin, Agrawal, University of Oxford
Noor, Sajid, University College London
Numan, Celik, 
Nyamos, Waigama, The University of Dodoma
Olga, Perepelkina, Neurodata Lab LLC
Oliver, Bear Don't Walk, Columbia
Olivia, Choudhury, IBM Research
Olugbenga, Olamijuwon, Eblocks
Omer, Gottesman, Harvard Univerisity
Pablo, Moreno-Munoz, Universidad Carlos III Madrid
Pashmina, Cameron, Microsoft
Paul, Jäger, German Cancer Research Center
Paul Pu, Liang, Carnegie Mellon University
Pavitra, Krishnaswamy, Institute for Infocomm Research- A*STAR
Pierre, Machart, Universitätsklinikum Hamburg-Eppendorf (UKE)
Pradyumna Byappanahalli, Suresha, Georgia Institute of Technology
Pragyansmita, Nayak, 
Pulkit, Sharma, University of Oxford
Purva, Pruthi, University of Massachusetts Amherst
Qiao, Jin, Tsinghua University
Rachneet, Kaur, University of Illinois at Urbana Champaign
Rafael, Sousa, Universidade Federal de Goiás
Rafid, Mahmood, University of Toronto
Rahul, Krishnan, MIT
Ram, Subramanian, PerceptiMed Inc.
Ramya, Srinivasan, Fujitsu Laboratories of America
Raphael, Aruleba, University of Cape Town
Razvan, Marinescu, Massachusetts Institute of Technology- University College London
Reza, Ashrafi, Aalto University
Richard, Chen, Harvard University
Rielly, Victor, Portland State University
Rina, Singh, NYU
Rohit, Vashisht, Stanford University
Rohit, Singla, University of British Columbia
Ruizhi, Liao, Massachusetts Institute of Technology
Ryutaro, Tanno, University College London
Sai Prabhakar, Pandi Selvaraj, Abridge AI
Sajad, Darabi, University of California Los Angeles
Saloni, Dash, Birla Institute of Technology and Science Pilani
Sami, Mian, University of Pittsburgh
Sandhya, Prabhakaran, Moffitt Cancer Center
Sangeeta, Warrier, North Carolina State University
Sarah, Poole, Verily
Sarah, Wiegreffe, Georgia Institute of Technology
Sarah, Tan, Cornell University
Sarvesh, Nikumbh, Imperial College London and MRC London Institute of Medical Sciences
Sarveswaran, Kaushik, Indian Institute of Technology- Madras
Satyananda, Kashyap, IBM Research
Saulo, Pedro, 3778 Healhcare
Scott, Fleming, Stanford
Sehj, Kashyap, Duke Institute for Health Innovation
Seojin, Bang, Carnegie Mellon University
Seungchan, Kim, Brown University
Sewale, Demeke, Sakarya University
Shalmali, Joshi, The University of Texas at Austin
Shanya, Sharma, SAP LABS
Shaun, Gupta, IQVIA
Sheng, Liu, NYU
Shruti, Palaskar, Carnegie Mellon University
Sidra, Xu, The Harker School
So Yeon, Min, MIT CSAIL
Sonali, Parbhoo, University of Basel
Stephanie, Hyland, Microsoft Research
Stephen, Pfohl, Stanford University
Subba Reddy, Oota, Teradata / IIIT Hyderabad
Sumit, Mukherjee, 
Taiyu, Zhu, Imperial College London
Taylor, Killian, University of Toronto
Thomas, Hooven, Columbia University
Thomas, Taylor, University of Oxford
Tom, Woolf, Johns Hopkins University
Tom, Van Steenkiste, Ghent university - imec
Tony, Sun, Columbia
Toru, Shirakawa, Public Health- Osaka University Graduate School of Medicine
Tristan, Naumann, Microsoft Research
Turgay, Ayer, Georgia Institute of Technology
Usman, Roshan, New Jersey Institute of Technology- USA
Vaishnavi, Subramanian, University of Illinois at Urbana-Champaign
Vincent, Jeanselme, CMU
Vishwali, Mhasawade, New York University
Vivek, Natarajan, Google
Weicheng, Zhu, New York University Center for Data Science
Wenyuan, Li, UCLA
Willie, Boag, MIT
Wouter, van Amsterdam, University Medical Center Utrecht
Xiaojing, Xu, UC San Diego
Xiaorong, Ding, Oxford
Xiaoyi, Zhang, New York University
Xinyu, Li, Carnegie Mellon University
Xinyuan, Hu, University of Pennsylvania
Yang, Guo, Agency for Science- Technology and Research (A*STAR)
Yang-En, Chen, HTC Research
YIMER, HUSSIEN, ADDIS ABABA UNIVERSITY
Yiqiu, Shen, New York University
Yontan, Mintz, Georgia Tech
Yuan, Liu, google inc
Yunlong, Wang, IQVIA
Zaid, Nabulsi, Stanford University
Zhaonan, Sun, IBM Research
Zhengping, Che, Didi Chuxing
