FIRSTNAME,LASTNAME,AFFIL
Aakash, Kaku, NYU Center for Data Science
Adam, Yala, MIT
Adam, Lavertu, Stanford
Adarsh, Subbaswamy, Johns Hopkins University
Adnan, Akbar, Cambridge Cancer Genomics
Agni, Orfanoudaki, Massachusetts Institute of Technology
Alex, Fedorov, Georgia Institute of Technology
Ali, Bashashati, BC Cancer Agency
Alison, Callahan, Stanford
Alistair, Johnson, MIT
Allen, Schmaltz, Harvard
Amber, Nigam, Georgia Institute of Technology
Amelia, Averitt, Columbia University
Anas, Abidin, NVIDIA
Andrew, Beam, Harvard Medical School
Andrew, Dai, Google Brain
Andrew, Miller, Columbia University
Aniruddh, Raghu, MIT
Ankush, Chakrabarty, Harvard
Anshul, Thakur, University of Tennessee Health Science Center
Anthony, Wertz, CMU
Anthony, Bonifonte, Denison University
Antoine, Neuraz, INSERM- Centre de Recherche des Cordeliers- UMR 1138 Equipe 22- Hopital Necker-Enfants Malades- APHP
Antonio, Sze-To, University of Waterloo
Antonios, Alexos, University of Thessaly
Anup, Tuladhar, Department of Radiology & Hotchkiss Brain Institute- University of Calgary
Anusua, Trivedi, Microsoft
Aparna, Balagopalan, Winterlight Labs- University of Toronto
Aria, Khademi, 
Arijit, Patra, University of Oxford
Arun, Baskaran, RPI
Aubrey, Barnard, UW-Madison
Azin, Asgarian, Georgian Partners Inc
Badri, Patro, IIT Kanpur
Baihan, Lin, Columbia University
Balamurali, Murugesan, Indian Institute of Technology- Madras
Beau, Norgeot, UCSF
Ben, Marafino, Stanford University
Ben, Huynh, Stanford
Benjamin, Kompa, Harvard Medical School
Bhanu, Singh, Univeristy of Massachusetts- Amherst
Brett, Marinelli, Icahn School of Medicine at Mount Sinai
Bryce, Allen, Silicon Therapeutics
Chad, Vanderbilt, Memorial Sloan Kettering Cancer Center
Charles, Delahunt, University of Washington
Chen, Fang, Florida International University
Chhavi, Yadav, NYU
Chirag, Nagpal, Carnegie Mellon University
Christoph, Kurz, Helmholtz Zentrum München
Christopher, Bridge, Partners Healthcare
Chufan, Gao, Carnegie Mellon University
Chun-Hao, Chang, University of Toronto
Chun-Hung, Chao, National Tsing Hua University
Colin, Targonski, Clemson University
Corey, Chivers, University of Pennsylvania
Craig, Glastonbury, 
Daniel, Neil, BenevolentAI
