NAME,WEBSITE,AFFIL,TITLE,IMGFILE
Luke Oakden-Rayner,https://lukeoakdenrayner.wordpress.com/about-me/,nRAH Medical Imaging,Director of Research,luke.jpg
Jeff Dean,https://ai.google/research/people/jeff,Google AI,Senior Fellow & SVP,jeff.jpg
Russ Altman,https://bioengineering.stanford.edu/people/russ-b-altman,Stanford University,Professor,russ.jpg
Daphne Koller,http://insitro.com/team,insitro,Founder and CEO,daphne.jpg
Lily Peng,https://ai-med.io/lily-peng-product-manager-google-brain/,Google Brain AI,Product Manager,lily.jpg
